"datetime","pm_fraction","Al","Si","P","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Br","Sr","Y","Zr","Mo","Pd","Ag","Cd","In","Sn","Sb","Te","Ba","La","Ce","Pt","Hg","Tl","Pb","Bi","Al_Flags","Si_Flags","P_Flags","S_Flags","Cl_Flags","K_Flags","Ca_Flags","Ti_Flags","V_Flags","Cr_Flags","Mn_Flags","Fe_Flags","Co_Flags","Ni_Flags","Cu_Flags","Zn_Flags","Ga_Flags","Ge_Flags","As_Flags","Se_Flags","Br_Flags","Sr_Flags","Y_Flags","Zr_Flags","Mo_Flags","Pd_Flags","Ag_Flags","Cd_Flags","In_Flags","Sn_Flags","Sb_Flags","Te_Flags","Ba_Flags","La_Flags","Ce_Flags","Pt_Flags","Hg_Flags","Tl_Flags","Pb_Flags","Bi_Flags"
"2021-08-11 19:00:00","PM2.5",783.2404,0,NA,205.9936,0,30.4054,29.166,NA,NA,0,0,29.1696,NA,0,1.0552,2.6488,0,0,NA,0,1.1867,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,NA
"2021-08-11 20:00:00","PM10",NA,0,0,258.107,10.6422,52.0201,118.0211,1.9032,NA,NA,NA,77.5532,0,NA,2.1899,3.7833,0,0,NA,0,1.6302,NA,0,0,0,NA,0.0592,0,0,NA,0,NA,0,0,0,0,0,0,0,0,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-11 21:00:00","PM2.5",NA,0,0,210.3523,0,32.8828,15.5789,NA,NA,0,0,21.4564,0,0.862,0.6407,2.6854,0,0,0.8083,0,1.4627,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"E: Uncertainty",NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-11 22:00:00","PM10",NA,0,0,336.7977,54.1423,52.9587,87.9219,1.2267,1.0267,0,NA,67.6125,NA,NA,2.5137,5.6626,0,0,0.8382,0,3.6152,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,2.7841,0,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA
"2021-08-11 23:00:00","PM2.5",0,0,0,227.4168,119.7872,15.0076,9.5788,0,NA,0,0,7.5524,0,0,NA,1.1831,0,0,NA,0,NA,NA,0,0,0,13.703,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-12 00:30:00","PM10",NA,0,0,429.6281,1968.3279,88.0075,60.8619,0,0,0,0,7.0403,0.0029,0,NA,1.7286,0,0,0,0,1.6087,NA,0,0,0,28.773,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA
"2021-08-12 01:00:00","PM2.5",639.2116,0,0,357.045,503.0273,28.5151,20.6115,0,0,0,0,5.2172,NA,0,0.5821,0.929,0,0,NA,NA,0.9667,NA,0,0,0,10.0175,NA,NA,0,0,NA,NA,NA,0,0.0148,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA
"2021-08-12 02:00:00","PM10",887.3994,0,0,448.9938,2197.6712,94.7777,81.264,NA,NA,NA,0,15.2193,0,NA,NA,1.5978,NA,0,NA,NA,3.6199,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,"E: Uncertainty",NA,"E: Uncertainty","E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-12 03:00:00","PM2.5",0,0,0,288.652,644.0505,28.6622,23.6426,0,NA,NA,0,7.0303,0,0,0.5537,NA,0,0,NA,0,0.9188,NA,0,0,0,11.9194,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-12 04:00:00","PM10",680.3643,0,0,355.0161,2051.3099,80.6698,71.7263,NA,NA,0,0,25.3189,0,NA,NA,1.526,0,0,NA,NA,1.9641,NA,0,0,0,0,NA,NA,0,0,0,0.1185,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
