"Date_UTC","source_pm2p5","Org","NH4","SO4","NO3","Chl","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","PM1","PM2p5","PM10","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm","qc_flag_PM1","qc_flag_PM2p5","qc_flag_PM10"
2024-05-18 20:00:00,"BAQS",0.606991799611039,0.674411822470002,0,0.64582017506287,0.042885215285405,1.09996666666667,1.06458333333333,1.0039,0.978416666666667,0.92295,0.885933333333333,0.894133333333333,11.3422535,13.4644503,21.7115761666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-18 21:00:00,"BAQS",0.435000283529084,0.473697945994388,0.316449836413504,0.348581760444295,0.0138069749661665,1.40218333333333,1.3468,1.26661666666667,1.2304,1.15651666666667,1.11256666666667,1.12178333333333,8.22010791666667,10.22086205,17.8147190333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-18 22:00:00,"BAQS",0.283311159726538,0.648164213767874,0.0749644549322049,0.815470494904584,0.0199892742008744,1.4534,1.35771666666667,1.27263333333333,1.2337,1.16031666666667,1.12766666666667,1.13726666666667,8.80413756666667,10.8874720333333,18.967534,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-18 23:00:00,"BAQS",0.142483731230472,0.90219291690625,0,1.10664645821547,0.0400435264641852,1.03001666666667,0.944383333333333,0.877583333333333,0.844016666666667,0.78315,0.751483333333333,0.7526,9.3538674,11.3596141833333,17.6982867833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-19,"BAQS",0.327606346000624,1.9755960717891,0,2.44942240063873,0.152683926780296,0.939666666666667,0.762090909090909,0.696636363636364,0.683030303030303,0.646515151515151,0.611212121212121,0.619727272727273,9.53224246666667,11.84021715,21.8049667166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-19 01:00:00,"BAQS",1.33498069740533,1.31270085556429,0,2.13857894705403,0.0854913575128057,0.894,0.8156,0.746016666666667,0.720966666666667,0.674216666666667,0.656216666666667,0.648616666666667,8.84331321666667,11.09916125,20.1957302666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-19 02:00:00,"BAQS",2.23338692334837,1.24888260570824,0,2.63943977488635,0.0765316028482801,0.779333333333333,0.725583333333333,0.666683333333333,0.6454,0.607516666666667,0.586016666666667,0.579816666666667,7.6234683,9.98844241666667,20.4551802666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-19 03:00:00,"BAQS",3.04411715685471,1.53909773896615,0.397539851862845,2.45448997263676,0.114236730966041,0.72255,0.688283333333333,0.638016666666667,0.620333333333333,0.58405,0.562483333333333,0.558633333333333,7.98558895,10.3106073166667,20.8517278,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-19 04:00:00,"BAQS",1.25535614818757,1.56631982617909,0.14224443634983,2.41555385923081,0.121072727681068,0.66595,0.643116666666667,0.598966666666667,0.583283333333333,0.55285,0.531533333333333,0.5268,7.55925721666667,9.77745773333333,19.7870045,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-19 05:00:00,"BAQS",0.591837330703362,2.1563315963117,0.229316291055977,3.25246156034503,0.123189770767725,0.6365,0.624283333333333,0.585466666666667,0.5723,0.541533333333333,0.5209,0.518183333333333,7.16208748333333,9.26615331666667,18.8964041833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
