"Date_UTC","source_pm2p5","Org","NH4","SO4","NO3","Chl","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm"
2021-08-10 21:00:00,"LW",1.80544307631764,0.442290565979917,0.598274105332273,0.202888981181053,0,0.554716666666667,0.544383333333333,0.507483333333333,0.49265,0.464683333333333,0.454083333333333,0.449233333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 22:00:00,"LW",1.51833078674496,0.370087685222235,0.645877466917857,0.115426727826403,0,0.340266666666667,0.338733333333333,0.3182,0.310283333333333,0.291066666666667,0.29185,0.286766666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 23:00:00,"LW",1.49681412726008,0.541161521784753,0.610218235834563,0.226428294727858,0,0.3346,0.32545,0.30385,0.295783333333333,0.277333333333333,0.28015,0.27435,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11,NA,1.94117254500787,0.436507050064367,0.24006398328809,0.200193235982105,0,0.4767,0.440083333333333,0.4078,0.394616666666667,0.370666666666667,0.363333333333333,0.360066666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 01:00:00,"LW",1.68902996382202,0.422937956759943,0.435599232040437,0.30348924159576,0.00932284576856843,0.354466666666667,0.31395,0.2892,0.280333333333333,0.262466666666667,0.257666666666667,0.25415,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 02:00:00,"LW",2.21988677607206,0.517579083499665,0.688082696480307,0.26927235725836,0,0.32905,0.29995,0.278333333333333,0.270116666666667,0.25365,0.249366666666667,0.247066666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 03:00:00,"LW",1.84187403528927,0.458145443530026,0.416363829787963,0.346914125210286,0,0.291366666666667,0.277383333333333,0.261433333333333,0.25655,0.241666666666667,0.2385,0.2364,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 04:00:00,"LW",1.71312574702042,0.765702458080906,0.584674378279548,0.241819631586142,0,0.345266666666667,0.333866666666667,0.314466666666667,0.308,0.28955,0.287316666666667,0.285316666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 05:00:00,"LW",1.84531571610151,0.484750294500683,0.618414497329296,0.469099693019606,0,0.48555,0.465166666666667,0.437133333333333,0.4273,0.4028,0.40135,0.399183333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 06:00:00,"LW",2.28290762577221,0.75422043509566,0.693215269599144,0.555511351963857,0.0209529581586243,0.73275,0.721333333333333,0.680183333333333,0.668083333333333,0.631683333333333,0.636033333333333,0.636083333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 07:00:00,"LW",2.7361415119467,1.40577332387753,0.838270230671858,0.549726559645788,0,0.615183333333333,0.603883333333333,0.571516666666667,0.5605,0.53155,0.534783333333333,0.53645,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 08:00:00,"LW",2.69735832944148,1.22419531165301,1.18715361078249,0.385566957405584,0.0188208575667426,0.461166666666667,0.454166666666667,0.432083333333333,0.4259,0.4066,0.399883333333333,0.403516666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 09:00:00,"LW",3.07069708951691,0.970749069336197,0.931970773257967,0.293720246907825,0,0.38615,0.377533333333333,0.35975,0.355566666666667,0.341083333333333,0.330583333333333,0.336383333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 10:00:00,"LW",2.5863587507864,0.50507088143538,0.425611901567781,0.260595532642416,0,0.335933333333333,0.3291,0.312883333333333,0.307483333333333,0.29535,0.282116666666667,0.287433333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 11:00:00,"LW",2.5857170532931,0.484213899601499,0.452006932505099,0.387609978153094,0.00574905618347774,0.3727,0.367683333333333,0.3512,0.34715,0.33405,0.320533333333333,0.326683333333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 12:00:00,"LW",3.13874862616322,0.496143451518358,0.392805966440525,0.211740422418358,0.0294523606988554,0.378316666666667,0.3687,0.349216666666667,0.34385,0.331,0.311333333333333,0.32045,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 13:00:00,"LW",3.50895340780711,0.439141284989582,0.700919911512205,0.194640173493449,0,0.382366666666667,0.378416666666667,0.36045,0.35405,0.338816666666667,0.32705,0.332266666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 14:00:00,"LW",3.05306967151456,0.331324733648355,0.584592819979607,0.17982662875935,0.00388983485904426,0.34035,0.33845,0.320933333333333,0.31585,0.3022,0.294033333333333,0.296716666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 15:00:00,"LW",3.04596189227451,0.306070885929579,0.442774851809302,0.234409634951162,0.00868004384807445,0.344983333333333,0.3422,0.327533333333333,0.322883333333333,0.310566666666667,0.3046,0.3098,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 16:00:00,"LW",4.14662989234995,0.421284539564453,0.278420683947006,0.179750641874042,0,0.389683333333333,0.3844,0.364516666666667,0.359066666666667,0.340466666666667,0.334666666666667,0.33645,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 17:00:00,"LW",3.63769245597779,0.578193878590411,0.492345498956843,0.200321673573423,0.0326126056157364,0.3413,0.339566666666667,0.323883333333333,0.318733333333333,0.304733333333333,0.301516666666667,0.303866666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 18:00:00,"LW",2.97014107476846,0.502115282750954,0.395173050814757,0.150180376781017,0.00201745214290105,0.373483333333333,0.365433333333333,0.34715,0.341183333333333,0.323033333333333,0.32105,0.32185,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 19:00:00,"LW",3.17351486409998,0.41167625873437,0.416462085956458,0.215555528709637,0,0.365016666666667,0.3542,0.335533333333333,0.32885,0.311133333333333,0.3084,0.309066666666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 20:00:00,"LW",3.6919225963927,0.375063544241527,0.326723130334207,0.207907814265789,0,0.345216666666667,0.334633333333333,0.316783333333333,0.31145,0.293316666666667,0.293716666666667,0.2929,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-11 21:00:00,"LW",3.3694350586785,0.0940367783658201,0.365587372614375,0.255984898593276,0,0.3478,0.34015,0.323516666666667,0.320283333333333,0.3021,0.306533333333333,0.30575,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
