"Date_UTC","Rain_Intensity","Total_Precip","Liquid_Precip","Solid_Precip","Precipitation.amount","Air_Temp","RH","Precipitation_amount","RH....","Temperature..C.","Station.Level.Pressure..hPa.","MSLP..hPa.","u","v","w","speed","direction","qc_flag_Rain_Intensity","qc_flag_Total_Precip","qc_flag_Liquid_Precip","qc_flag_Solid_Precip","qc_flag_Precipitation_amount","qc_flag_Air_Temp","qc_flag_RH","qc_flag_Relative_Humidity_pct"
2020-10-02 18:00:00,0.734283333333333,0.728983333333333,0.728983333333333,0,211.446666666667,19.5483333333333,100,NA,94.76836585,11.5405922333333,977.928350716667,995.337182969749,-3.49300057736721,2.5902606812933,0.114263856812933,4.5218120669746,44.446997113164,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 19:00:00,0.0384166666666667,0.0356166666666667,0.0356166666666667,0,211.715166666667,-0.656666666666667,94.7166666666667,NA,94.9793635666667,11.5770415,977.964746133333,995.371978115932,-3.39600779670806,2.90173953219752,0.132405717585908,4.64512070459139,44.4765194917701,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 20:00:00,0.00335,0.00326666666666667,0.00301666666666667,0,211.73,-8.57,95.6166666666667,NA,93.6745463,11.7549814666667,977.957424,995.353558039711,-3.3207924963925,2.15718643578644,0.0841930735930736,4.14710101010101,47.2866946608947,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 21:00:00,0.100816666666667,0.104516666666667,0.104516666666667,0,211.7525,2.27333333333333,90.5833333333333,NA,92.2865884666667,11.9718361833333,977.864014633333,995.245140379599,-3.04994311290788,1.81722783713543,0.062038983540283,3.74799393589373,52.5797825584753,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 22:00:00,0.425183333333333,0.450216666666667,0.450216666666667,0,211.979333333333,18.0283333333333,98.9833333333333,NA,93.2948655666667,11.8291002333333,977.70420945,995.091275482295,-2.68633775981524,1.49823181293303,-0.00485825635103926,3.24460161662818,54.59603926097,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 23:00:00,0.664933333333333,0.65785,0.65785,0,212.6485,21.4833333333333,100,NA,95.1047037833333,11.7999086333333,977.364465383333,994.747285785646,-2.65024112041582,1.42644672249495,0.00582356338434883,3.17490326306671,56.2659321397632,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-03,0.631448275862069,0.651431034482759,0.651431034482759,0,213.245517241379,21.5741379310345,100,NA,95.79030595,11.7962815833333,976.972524016667,994.348596713732,-2.59123001443001,1.30622135642136,-0.0207933621933622,3.08799567099567,63.5968735930736,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-03 01:00:00,0.7013,0.696583333333333,0.696583333333333,0,213.9055,18.7983333333333,100,NA,96.2033637833333,11.8712714833333,976.828048433333,994.196940318006,-2.43764232101617,1.20066801385681,-0.0238513279445727,2.90384064665127,65.5767794457275,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-03 02:00:00,1.07478333333333,1.0524,1.0524,0,214.8855,23.1,100,NA,97.1195686666667,11.9368036666667,976.630493033333,993.991845371327,-2.53534276638753,1.15764395033208,-0.0884181345654057,2.96998354028299,69.9215062084897,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-03 03:00:00,0.632916666666667,0.6953,0.6953,0,215.527833333333,18.0383333333333,99.85,NA,97.5691078333333,11.8865561666667,976.275638833333,993.633769100997,-2.74280282909931,1.46050404157044,-0.0393530600461894,3.29268475750577,57.0069093533487,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-03 04:00:00,1.28006666666667,1.23098333333333,1.23098333333333,0,216.8375,24.9766666666667,100,NA,97.7832312833333,11.8075266666667,975.908199133333,993.26465105523,-2.82362521638777,1.430705135603,-0.0877466820542412,3.35395326024235,58.70439728794,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-03 05:00:00,1.27135,1.25945,1.25945,0,217.878666666667,24.155,100,NA,97.9202137118644,11.7748863050847,975.29637738983,992.643952623649,-2.38529260543039,1.15039254766031,-0.013263431542461,2.8824716926632,76.8425051993068,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-03 06:00:00,0.0961166666666667,0.0889333333333333,0.0889333333333333,0,218.590333333333,-1.96833333333333,91.8166666666667,NA,97.9322662666667,11.6883613833333,974.4871745,991.82566849456,-2.20239301183945,1.05060727692752,0.0137028587929541,2.73332803927231,85.8490181923188,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-03 07:00:00,0.00368333333333333,0.0036,0.0036,0,218.6,-7.68666666666667,92.15,NA,97.6560654166667,11.7842077666667,974.029759716667,991.354234492249,-2.35539601386482,1.29540294627383,0.0160271519352975,2.92133448873484,69.2444948006932,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-03 08:00:00,0.00346666666666667,0.00391666666666667,0.00391666666666667,0,218.601333333333,-9.34833333333333,97.7666666666667,NA,97.2963472833333,11.9037544166667,973.561361716667,990.870179479289,-1.54327524523947,0.655819388343912,-0.0629143104443162,1.96082515868436,107.662267166763,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-03 09:00:00,0.196016666666667,0.226383333333333,0.226383333333333,0,218.661333333333,5.805,100,NA,97.2519655,12.0773046,973.0764648,990.366042584306,-1.17674848397343,0.342790932717297,-0.126151891423621,1.61948079699682,134.082841755703,"1b","1b","1b","1b","1b","1b",1,"b"
